family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
dio_03fl,54,1,0,1,1,1,0.0,0.082293,0.057451
dio_0ga4,52,1,0,0,0,1,0.0,0.004401,0.004401
dio_0ga4,53,1,0,0,0,1,0.0,0.017363,0.017363
dio_0ga4,54,1,1,1,0,0,1.355456,0.05351,0.05351
dio_0n4c,52,1,1,1,0,0,1.08523,0.406384,0.075569
dio_0n4c,53,1,1,1,0,0,1.08523,0.58793,0.07221
dio_0n4c,54,1,1,1,0,0,1.08523,0.656708,0.073477
dio_0n4c,55,1,1,1,0,0,1.08523,0.714173,0.073932
dio_0p6m,54,1,0,0,0,1,0.0,0.004729,0.004729
dio_13ud,54,1,0,0,0,1,0.0,0.004013,0.004013
dio_1527,52,1,0,0,0,1,0.0,0.004319,0.004319
dio_1527,53,1,0,0,0,1,0.0,0.008486,0.008486
dio_1527,54,1,0,0,0,1,0.0,0.020789,0.020789
dio_1527,55,1,0,0,0,1,0.0,0.03969,0.03969
dio_15fd,54,1,0,0,0,1,0.0,0.004491,0.004491
dio_17tf,52,1,0,0,0,1,0.0,0.004259,0.004259
dio_17tf,53,1,0,0,0,1,0.0,0.011229,0.011229
dio_17tf,54,1,0,0,0,1,0.0,0.031166,0.031166
dio_17tf,55,1,1,1,0,0,0.745509,0.061897,0.060391
dio_1erd,52,1,0,0,0,1,0.0,0.005041,0.005041
dio_1erd,53,1,0,0,0,1,0.0,0.014611,0.014611
dio_1erd,54,1,0,0,0,1,0.0,0.040682,0.040682
dio_1erd,55,1,1,1,0,0,0.979017,0.081035,0.073134
dio_1hcy,52,1,0,0,0,1,0.0,0.004515,0.004515
dio_1hcy,53,1,0,0,0,1,0.0,0.018537,0.018537
dio_1hkr,52,1,1,1,0,0,0.066334,0.152728,0.054999
dio_1hkr,53,1,1,1,0,0,0.066334,0.169446,0.056283
dio_1hkr,55,1,1,1,0,0,0.066334,0.152558,0.057036
dio_1ieq,54,1,0,1,1,1,0.0,0.087746,0.057025
dio_1nlc,52,1,0,0,0,1,0.0,0.004869,0.004869
dio_1nlc,53,1,0,0,0,1,0.0,0.02177,0.02177
dio_1nnb,52,1,0,0,0,1,0.0,0.004149,0.004149
dio_1nnb,53,1,0,0,0,1,0.0,0.013219,0.013219
dio_1nnb,55,1,0,0,0,1,0.0,0.038186,0.038186
dio_1xmg,52,1,0,0,0,1,0.0,0.004836,0.004836
dio_1xmg,53,1,0,0,0,1,0.0,0.021631,0.021631
