metric,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
node_count_reference,78,True,False,False,False,False,False,False,False
node_count_candidate,78,True,False,False,False,False,False,False,False
shared_node_count,78,True,False,False,False,False,False,False,False
node_reproduction_rate,1.0,True,False,False,False,False,False,False,False
edge_count_reference,196,True,False,False,False,False,False,False,False
edge_count_candidate,234,True,False,False,False,False,False,False,False
shared_edge_count,186,True,False,False,False,False,False,False,False
edge_reproduction_rate,0.94898,True,False,False,False,False,False,False,False
island_count_reference,13,True,False,False,False,False,False,False,False
island_count_candidate,11,True,False,False,False,False,False,False,False
avg_island_similarity_reference,0.833307,True,False,False,False,False,False,False,False
avg_island_similarity_candidate,0.990469,True,False,False,False,False,False,False,False
